date,fed_funds_rate,rate_change,direction,rolling_direction,cycle_type
2000-01-01,5.45,,0,,neutral
2000-02-01,5.73,0.28000000000000025,1,1.0,neutral
2000-03-01,5.85,0.11999999999999922,1,2.0,hiking
2000-04-01,6.02,0.16999999999999993,1,2.0,hiking
2000-05-01,6.27,0.25,1,2.0,hiking
2000-06-01,6.53,0.2600000000000007,1,2.0,hiking
2000-07-01,6.54,0.009999999999999787,1,2.0,hiking
2000-08-01,6.5,-0.040000000000000036,-1,0.0,neutral
2000-09-01,6.52,0.019999999999999574,1,0.0,neutral
2000-10-01,6.51,-0.009999999999999787,-1,0.0,neutral
2000-11-01,6.51,0.0,0,-1.0,neutral
2000-12-01,6.4,-0.10999999999999943,-1,-1.0,neutral
2001-01-01,5.98,-0.41999999999999993,-1,-2.0,cutting
2001-02-01,5.49,-0.4900000000000002,-1,-2.0,cutting
2001-03-01,5.31,-0.1800000000000006,-1,-2.0,cutting
2001-04-01,4.8,-0.5099999999999998,-1,-2.0,cutting
2001-05-01,4.21,-0.5899999999999999,-1,-2.0,cutting
2001-06-01,3.97,-0.23999999999999977,-1,-2.0,cutting
2001-07-01,3.77,-0.20000000000000018,-1,-2.0,cutting
2001-08-01,3.65,-0.1200000000000001,-1,-2.0,cutting
2001-09-01,3.07,-0.5800000000000001,-1,-2.0,cutting
2001-10-01,2.49,-0.5799999999999996,-1,-2.0,cutting
2001-11-01,2.09,-0.40000000000000036,-1,-2.0,cutting
2001-12-01,1.82,-0.2699999999999998,-1,-2.0,cutting
2002-01-01,1.73,-0.09000000000000008,-1,-2.0,cutting
2002-02-01,1.74,0.010000000000000009,1,0.0,neutral
2002-03-01,1.73,-0.010000000000000009,-1,0.0,neutral
2002-04-01,1.75,0.020000000000000018,1,0.0,neutral
2002-05-01,1.75,0.0,0,1.0,neutral
2002-06-01,1.75,0.0,0,0.0,neutral
2002-07-01,1.73,-0.020000000000000018,-1,-1.0,neutral
2002-08-01,1.74,0.010000000000000009,1,0.0,neutral
2002-09-01,1.75,0.010000000000000009,1,2.0,hiking
2002-10-01,1.75,0.0,0,1.0,neutral
2002-11-01,1.34,-0.4099999999999999,-1,-1.0,neutral
2002-12-01,1.24,-0.10000000000000009,-1,-2.0,cutting
2003-01-01,1.24,0.0,0,-1.0,neutral
2003-02-01,1.26,0.020000000000000018,1,1.0,neutral
2003-03-01,1.25,-0.010000000000000009,-1,0.0,neutral
2003-04-01,1.26,0.010000000000000009,1,0.0,neutral
2003-05-01,1.26,0.0,0,1.0,neutral
2003-06-01,1.22,-0.040000000000000036,-1,-1.0,neutral
2003-07-01,1.01,-0.20999999999999996,-1,-2.0,cutting
2003-08-01,1.03,0.020000000000000018,1,0.0,neutral
2003-09-01,1.01,-0.020000000000000018,-1,0.0,neutral
2003-10-01,1.01,0.0,0,-1.0,neutral
2003-11-01,1.0,-0.010000000000000009,-1,-1.0,neutral
2003-12-01,0.98,-0.020000000000000018,-1,-2.0,cutting
2004-01-01,1.0,0.020000000000000018,1,0.0,neutral
2004-02-01,1.01,0.010000000000000009,1,2.0,hiking
2004-03-01,1.0,-0.010000000000000009,-1,0.0,neutral
2004-04-01,1.0,0.0,0,-1.0,neutral
2004-05-01,1.0,0.0,0,0.0,neutral
2004-06-01,1.03,0.030000000000000027,1,1.0,neutral
2004-07-01,1.26,0.22999999999999998,1,2.0,hiking
2004-08-01,1.43,0.16999999999999993,1,2.0,hiking
2004-09-01,1.61,0.18000000000000016,1,2.0,hiking
2004-10-01,1.76,0.1499999999999999,1,2.0,hiking
2004-11-01,1.93,0.16999999999999993,1,2.0,hiking
2004-12-01,2.16,0.2300000000000002,1,2.0,hiking
2005-01-01,2.28,0.11999999999999966,1,2.0,hiking
2005-02-01,2.5,0.2200000000000002,1,2.0,hiking
2005-03-01,2.63,0.1299999999999999,1,2.0,hiking
2005-04-01,2.79,0.16000000000000014,1,2.0,hiking
2005-05-01,3.0,0.20999999999999996,1,2.0,hiking
2005-06-01,3.04,0.040000000000000036,1,2.0,hiking
2005-07-01,3.26,0.21999999999999975,1,2.0,hiking
2005-08-01,3.5,0.2400000000000002,1,2.0,hiking
2005-09-01,3.62,0.1200000000000001,1,2.0,hiking
2005-10-01,3.78,0.1599999999999997,1,2.0,hiking
2005-11-01,4.0,0.2200000000000002,1,2.0,hiking
2005-12-01,4.16,0.16000000000000014,1,2.0,hiking
2006-01-01,4.29,0.1299999999999999,1,2.0,hiking
2006-02-01,4.49,0.20000000000000018,1,2.0,hiking
2006-03-01,4.59,0.09999999999999964,1,2.0,hiking
2006-04-01,4.79,0.20000000000000018,1,2.0,hiking
2006-05-01,4.94,0.15000000000000036,1,2.0,hiking
2006-06-01,4.99,0.04999999999999982,1,2.0,hiking
2006-07-01,5.24,0.25,1,2.0,hiking
2006-08-01,5.25,0.009999999999999787,1,2.0,hiking
2006-09-01,5.25,0.0,0,1.0,neutral
2006-10-01,5.25,0.0,0,0.0,neutral
2006-11-01,5.25,0.0,0,0.0,neutral
2006-12-01,5.24,-0.009999999999999787,-1,-1.0,neutral
2007-01-01,5.25,0.009999999999999787,1,0.0,neutral
2007-02-01,5.26,0.009999999999999787,1,2.0,hiking
2007-03-01,5.26,0.0,0,1.0,neutral
2007-04-01,5.25,-0.009999999999999787,-1,-1.0,neutral
2007-05-01,5.25,0.0,0,-1.0,neutral
2007-06-01,5.25,0.0,0,0.0,neutral
2007-07-01,5.26,0.009999999999999787,1,1.0,neutral
2007-08-01,5.02,-0.2400000000000002,-1,0.0,neutral
2007-09-01,4.94,-0.07999999999999918,-1,-2.0,cutting
2007-10-01,4.76,-0.1800000000000006,-1,-2.0,cutting
2007-11-01,4.49,-0.2699999999999996,-1,-2.0,cutting
2007-12-01,4.24,-0.25,-1,-2.0,cutting
2008-01-01,3.94,-0.30000000000000027,-1,-2.0,cutting
2008-02-01,2.98,-0.96,-1,-2.0,cutting
2008-03-01,2.61,-0.3700000000000001,-1,-2.0,cutting
2008-04-01,2.28,-0.33000000000000007,-1,-2.0,cutting
2008-05-01,1.98,-0.2999999999999998,-1,-2.0,cutting
2008-06-01,2.0,0.020000000000000018,1,0.0,neutral
2008-07-01,2.01,0.009999999999999787,1,2.0,hiking
2008-08-01,2.0,-0.009999999999999787,-1,0.0,neutral
2008-09-01,1.81,-0.18999999999999995,-1,-2.0,cutting
2008-10-01,0.97,-0.8400000000000001,-1,-2.0,cutting
2008-11-01,0.39,-0.58,-1,-2.0,cutting
2008-12-01,0.16,-0.23,-1,-2.0,cutting
2009-01-01,0.15,-0.010000000000000009,-1,-2.0,cutting
2009-02-01,0.22,0.07,1,0.0,neutral
2009-03-01,0.18,-0.04000000000000001,-1,0.0,neutral
2009-04-01,0.15,-0.03,-1,-2.0,cutting
2009-05-01,0.18,0.03,1,0.0,neutral
2009-06-01,0.21,0.03,1,2.0,hiking
2009-07-01,0.16,-0.04999999999999999,-1,0.0,neutral
2009-08-01,0.16,0.0,0,-1.0,neutral
2009-09-01,0.15,-0.010000000000000009,-1,-1.0,neutral
2009-10-01,0.12,-0.03,-1,-2.0,cutting
2009-11-01,0.12,0.0,0,-1.0,neutral
2009-12-01,0.12,0.0,0,0.0,neutral
2010-01-01,0.11,-0.009999999999999995,-1,-1.0,neutral
2010-02-01,0.13,0.020000000000000004,1,0.0,neutral
2010-03-01,0.16,0.03,1,2.0,hiking
2010-04-01,0.2,0.04000000000000001,1,2.0,hiking
2010-05-01,0.2,0.0,0,1.0,neutral
2010-06-01,0.18,-0.020000000000000018,-1,-1.0,neutral
2010-07-01,0.18,0.0,0,-1.0,neutral
2010-08-01,0.19,0.010000000000000009,1,1.0,neutral
2010-09-01,0.19,0.0,0,1.0,neutral
2010-10-01,0.19,0.0,0,0.0,neutral
2010-11-01,0.19,0.0,0,0.0,neutral
2010-12-01,0.18,-0.010000000000000009,-1,-1.0,neutral
2011-01-01,0.17,-0.009999999999999981,-1,-2.0,cutting
2011-02-01,0.16,-0.010000000000000009,-1,-2.0,cutting
2011-03-01,0.14,-0.01999999999999999,-1,-2.0,cutting
2011-04-01,0.1,-0.04000000000000001,-1,-2.0,cutting
2011-05-01,0.09,-0.010000000000000009,-1,-2.0,cutting
2011-06-01,0.09,0.0,0,-1.0,neutral
2011-07-01,0.07,-0.01999999999999999,-1,-1.0,neutral
2011-08-01,0.1,0.03,1,0.0,neutral
2011-09-01,0.08,-0.020000000000000004,-1,0.0,neutral
2011-10-01,0.07,-0.009999999999999995,-1,-2.0,cutting
2011-11-01,0.08,0.009999999999999995,1,0.0,neutral
2011-12-01,0.07,-0.009999999999999995,-1,0.0,neutral
2012-01-01,0.08,0.009999999999999995,1,0.0,neutral
2012-02-01,0.1,0.020000000000000004,1,2.0,hiking
2012-03-01,0.13,0.03,1,2.0,hiking
2012-04-01,0.14,0.010000000000000009,1,2.0,hiking
2012-05-01,0.16,0.01999999999999999,1,2.0,hiking
2012-06-01,0.16,0.0,0,1.0,neutral
2012-07-01,0.16,0.0,0,0.0,neutral
2012-08-01,0.13,-0.03,-1,-1.0,neutral
2012-09-01,0.14,0.010000000000000009,1,0.0,neutral
2012-10-01,0.16,0.01999999999999999,1,2.0,hiking
2012-11-01,0.16,0.0,0,1.0,neutral
2012-12-01,0.16,0.0,0,0.0,neutral
2013-01-01,0.14,-0.01999999999999999,-1,-1.0,neutral
2013-02-01,0.15,0.009999999999999981,1,0.0,neutral
2013-03-01,0.14,-0.009999999999999981,-1,0.0,neutral
2013-04-01,0.15,0.009999999999999981,1,0.0,neutral
2013-05-01,0.11,-0.039999999999999994,-1,0.0,neutral
2013-06-01,0.09,-0.020000000000000004,-1,-2.0,cutting
2013-07-01,0.09,0.0,0,-1.0,neutral
2013-08-01,0.08,-0.009999999999999995,-1,-1.0,neutral
2013-09-01,0.08,0.0,0,-1.0,neutral
2013-10-01,0.09,0.009999999999999995,1,1.0,neutral
2013-11-01,0.08,-0.009999999999999995,-1,0.0,neutral
2013-12-01,0.09,0.009999999999999995,1,0.0,neutral
2014-01-01,0.07,-0.01999999999999999,-1,0.0,neutral
2014-02-01,0.07,0.0,0,-1.0,neutral
2014-03-01,0.08,0.009999999999999995,1,1.0,neutral
2014-04-01,0.09,0.009999999999999995,1,2.0,hiking
2014-05-01,0.09,0.0,0,1.0,neutral
2014-06-01,0.1,0.010000000000000009,1,1.0,neutral
2014-07-01,0.09,-0.010000000000000009,-1,0.0,neutral
2014-08-01,0.09,0.0,0,-1.0,neutral
2014-09-01,0.09,0.0,0,0.0,neutral
2014-10-01,0.09,0.0,0,0.0,neutral
2014-11-01,0.09,0.0,0,0.0,neutral
2014-12-01,0.12,0.03,1,1.0,neutral
2015-01-01,0.11,-0.009999999999999995,-1,0.0,neutral
2015-02-01,0.11,0.0,0,-1.0,neutral
2015-03-01,0.11,0.0,0,0.0,neutral
2015-04-01,0.12,0.009999999999999995,1,1.0,neutral
2015-05-01,0.12,0.0,0,1.0,neutral
2015-06-01,0.13,0.010000000000000009,1,1.0,neutral
2015-07-01,0.13,0.0,0,1.0,neutral
2015-08-01,0.14,0.010000000000000009,1,1.0,neutral
2015-09-01,0.14,0.0,0,1.0,neutral
2015-10-01,0.12,-0.020000000000000018,-1,-1.0,neutral
2015-11-01,0.12,0.0,0,-1.0,neutral
2015-12-01,0.24,0.12,1,1.0,neutral
2016-01-01,0.34,0.10000000000000003,1,2.0,hiking
2016-02-01,0.38,0.03999999999999998,1,2.0,hiking
2016-03-01,0.36,-0.020000000000000018,-1,0.0,neutral
2016-04-01,0.37,0.010000000000000009,1,0.0,neutral
2016-05-01,0.37,0.0,0,1.0,neutral
2016-06-01,0.38,0.010000000000000009,1,1.0,neutral
2016-07-01,0.39,0.010000000000000009,1,2.0,hiking
2016-08-01,0.4,0.010000000000000009,1,2.0,hiking
2016-09-01,0.4,0.0,0,1.0,neutral
2016-10-01,0.4,0.0,0,0.0,neutral
2016-11-01,0.41,0.009999999999999953,1,1.0,neutral
2016-12-01,0.54,0.13000000000000006,1,2.0,hiking
2017-01-01,0.65,0.10999999999999999,1,2.0,hiking
2017-02-01,0.66,0.010000000000000009,1,2.0,hiking
2017-03-01,0.79,0.13,1,2.0,hiking
2017-04-01,0.9,0.10999999999999999,1,2.0,hiking
2017-05-01,0.91,0.010000000000000009,1,2.0,hiking
2017-06-01,1.04,0.13,1,2.0,hiking
2017-07-01,1.15,0.10999999999999988,1,2.0,hiking
2017-08-01,1.16,0.010000000000000009,1,2.0,hiking
2017-09-01,1.15,-0.010000000000000009,-1,0.0,neutral
2017-10-01,1.15,0.0,0,-1.0,neutral
2017-11-01,1.16,0.010000000000000009,1,1.0,neutral
2017-12-01,1.3,0.14000000000000012,1,2.0,hiking
2018-01-01,1.41,0.10999999999999988,1,2.0,hiking
2018-02-01,1.42,0.010000000000000009,1,2.0,hiking
2018-03-01,1.51,0.09000000000000008,1,2.0,hiking
2018-04-01,1.69,0.17999999999999994,1,2.0,hiking
2018-05-01,1.7,0.010000000000000009,1,2.0,hiking
2018-06-01,1.82,0.1200000000000001,1,2.0,hiking
2018-07-01,1.91,0.08999999999999986,1,2.0,hiking
2018-08-01,1.91,0.0,0,1.0,neutral
2018-09-01,1.95,0.040000000000000036,1,1.0,neutral
2018-10-01,2.19,0.24,1,2.0,hiking
2018-11-01,2.2,0.010000000000000231,1,2.0,hiking
2018-12-01,2.27,0.06999999999999984,1,2.0,hiking
2019-01-01,2.4,0.1299999999999999,1,2.0,hiking
2019-02-01,2.4,0.0,0,1.0,neutral
2019-03-01,2.41,0.010000000000000231,1,1.0,neutral
2019-04-01,2.42,0.009999999999999787,1,2.0,hiking
2019-05-01,2.39,-0.029999999999999805,-1,0.0,neutral
2019-06-01,2.38,-0.010000000000000231,-1,-2.0,cutting
2019-07-01,2.4,0.020000000000000018,1,0.0,neutral
2019-08-01,2.13,-0.27,-1,0.0,neutral
2019-09-01,2.04,-0.08999999999999986,-1,-2.0,cutting
2019-10-01,1.83,-0.20999999999999996,-1,-2.0,cutting
2019-11-01,1.55,-0.28,-1,-2.0,cutting
2019-12-01,1.55,0.0,0,-1.0,neutral
2020-01-01,1.55,0.0,0,0.0,neutral
2020-02-01,1.58,0.030000000000000027,1,1.0,neutral
2020-03-01,0.65,-0.93,-1,0.0,neutral
2020-04-01,0.05,-0.6,-1,-2.0,cutting
2020-05-01,0.05,0.0,0,-1.0,neutral
2020-06-01,0.08,0.03,1,1.0,neutral
2020-07-01,0.09,0.009999999999999995,1,2.0,hiking
2020-08-01,0.1,0.010000000000000009,1,2.0,hiking
2020-09-01,0.09,-0.010000000000000009,-1,0.0,neutral
2020-10-01,0.09,0.0,0,-1.0,neutral
2020-11-01,0.09,0.0,0,0.0,neutral
2020-12-01,0.09,0.0,0,0.0,neutral
2021-01-01,0.09,0.0,0,0.0,neutral
2021-02-01,0.08,-0.009999999999999995,-1,-1.0,neutral
2021-03-01,0.07,-0.009999999999999995,-1,-2.0,cutting
2021-04-01,0.07,0.0,0,-1.0,neutral
2021-05-01,0.06,-0.010000000000000009,-1,-1.0,neutral
2021-06-01,0.08,0.020000000000000004,1,0.0,neutral
2021-07-01,0.1,0.020000000000000004,1,2.0,hiking
2021-08-01,0.09,-0.010000000000000009,-1,0.0,neutral
2021-09-01,0.08,-0.009999999999999995,-1,-2.0,cutting
2021-10-01,0.08,0.0,0,-1.0,neutral
2021-11-01,0.08,0.0,0,0.0,neutral
2021-12-01,0.08,0.0,0,0.0,neutral
2022-01-01,0.08,0.0,0,0.0,neutral
2022-02-01,0.08,0.0,0,0.0,neutral
2022-03-01,0.2,0.12000000000000001,1,1.0,neutral
2022-04-01,0.33,0.13,1,2.0,hiking
2022-05-01,0.77,0.44,1,2.0,hiking
2022-06-01,1.21,0.43999999999999995,1,2.0,hiking
2022-07-01,1.68,0.47,1,2.0,hiking
2022-08-01,2.33,0.6500000000000001,1,2.0,hiking
2022-09-01,2.56,0.22999999999999998,1,2.0,hiking
2022-10-01,3.08,0.52,1,2.0,hiking
2022-11-01,3.78,0.6999999999999997,1,2.0,hiking
2022-12-01,4.1,0.31999999999999984,1,2.0,hiking
2023-01-01,4.33,0.23000000000000043,1,2.0,hiking
2023-02-01,4.57,0.2400000000000002,1,2.0,hiking
2023-03-01,4.65,0.08000000000000007,1,2.0,hiking
2023-04-01,4.83,0.17999999999999972,1,2.0,hiking
2023-05-01,5.06,0.22999999999999954,1,2.0,hiking
2023-06-01,5.08,0.020000000000000462,1,2.0,hiking
2023-07-01,5.12,0.040000000000000036,1,2.0,hiking
2023-08-01,5.33,0.20999999999999996,1,2.0,hiking
2023-09-01,5.33,0.0,0,1.0,neutral
2023-10-01,5.33,0.0,0,0.0,neutral
2023-11-01,5.33,0.0,0,0.0,neutral
2023-12-01,5.33,0.0,0,0.0,neutral
2024-01-01,5.33,0.0,0,0.0,neutral
2024-02-01,5.33,0.0,0,0.0,neutral
2024-03-01,5.33,0.0,0,0.0,neutral
2024-04-01,5.33,0.0,0,0.0,neutral
2024-05-01,5.33,0.0,0,0.0,neutral
2024-06-01,5.33,0.0,0,0.0,neutral
2024-07-01,5.33,0.0,0,0.0,neutral
2024-08-01,5.33,0.0,0,0.0,neutral
2024-09-01,5.13,-0.20000000000000018,-1,-1.0,neutral
2024-10-01,4.83,-0.2999999999999998,-1,-2.0,cutting
2024-11-01,4.64,-0.1900000000000004,-1,-2.0,cutting
2024-12-01,4.48,-0.15999999999999925,-1,-2.0,cutting
